plotid	x	y	distname	distcode
567	647884.81	1618444.43	Bo Rae	150411
568	646343.27	1623301.43	Thang Phra	150412
569	649714.22	1618942.44	Sam Ngam	150413
570	650824.80	1625443.95	Bang Chao Cha	150414
571	644992.21	1621662.94	Kham Yat	150415
572	641105.91	1632938.96	Sawaeng Ha	150501
573	643603.91	1628681.95	Sri Phran	150502
574	639155.59	1628231.96	Ban Phran	150503
575	633701.85	1628259.94	Wang Nam Yen	150504
576	634458.90	1632348.94	Si Bua Thong	150505
577	643342.83	1633971.44	Huai Phai	150506
578	646797.65	1629822.45	Cham Long	150507
579	647491.58	1613826.42	Phai Cham Sin	150601
